body_shape,skin_tone,age_group,gender,height,weight,occasion,clothing_item,fabric,color,pattern
triangle,medium,teenagers,female,tall,normal,formal,saree,cotton,red and white,batik
apple,medium,young,female,tall,normal,formal,saree,polyester,yellow and white,batik
hourglass,olive,adults,female,tall,normal,formal,saree,silk,green and blue,floral
inverted triangle,olive,teenagers,female,tall,normal,formal,short dress(short sleeve),viscose,black and red,floral
rectangle,olive,young,female,tall,normal,formal,short dress(long sleeve),viscose,brown and brown,dot/polka dot
triangle,olive,adults,female,tall,normal,formal,long dress(short sleeve),viscose,white and green,paisley
apple,olive,teenagers,female,tall,normal,formal,long dress(long sleeve),viscose,green and yellow,floral
hourglass,tan,young,female,tall,normal,formal,short dress(short sleeve),silk,blue and yellow,dot/polka dot
inverted triangle,tan,adults,female,tall,normal,formal,short dress(long sleeve),silk,red,paisley
rectangle,tan,teenagers,female,tall,normal,formal,long dress(short sleeve),silk,yellow and white,floral
triangle,tan,young,female,tall,normal,formal,long dress(long sleeve),silk,green and brown,dot/polka dot
apple,tan,adults,female,tall,normal,casual,jeans,denim,black,none
hourglass,fair,teenagers,female,tall,fat,casual,t-shirt,viscose,brown,none
hourglass,medium,young,female,tall,fat,casual,skinny top,cotton,white and green,floral
hourglass,olive,adults,female,tall,fat,casual,casual blouse,silk,green,floral
hourglass,tan,teenagers,female,tall,fat,casual,short trouser,viscose,blue,none
inverted triangle,fair,young,female,tall,fat,casual,short skirt,viscose,red and white,floral
inverted triangle,medium,adults,female,tall,fat,casual,short dress(short sleeve),viscose,yellow and red,floral
inverted triangle,olive,teenagers,female,tall,fat,casual,short dress(long sleeve),cotton,green and brown,dot/polka dot
inverted triangle,tan,young,female,tall,fat,casual,long dress(short sleeve),silk,black and yellow,floral
rectangle,fair,adults,female,tall,fat,casual,long dress(long sleeve),silk,brown and green,dot/polka dot
rectangle,medium,teenagers,female,tall,fat,casual,jeans,viscose,white,none
rectangle,olive,young,female,tall,fat,casual,t-shirt,cotton,green,none
rectangle,tan,adults,female,tall,fat,casual,skinny top,viscose,blue,none
triangle,fair,teenagers,female,tall,fat,casual,casual blouse,viscose,red and white,dot/polka dot
triangle,medium,young,female,tall,fat,casual,casual blouse,cotton,yellow and brown,paisley
triangle,olive,adults,female,tall,fat,casual,casual blouse,viscose,green and white,floral
triangle,tan,teenagers,female,tall,fat,sport,t-shirt,cotton,black,none
apple,fair,young,female,tall,fat,sport,jeans,cotton,black,none
apple,medium,adults,female,tall,fat,sport,short jeans,cotton,brown,none
apple,olive,teenagers,female,tall,fat,sport,sports bra,viscose,black,none
apple,tan,young,female,tall,fat,sport,leggings,cotton,brown,none
hourglass,fair,adults,female,tall,fat,party,short dress(short sleeve),viscose,sliver,none
inverted triangle,fair,teenagers,female,tall,fat,party,short dress(long sleeve),cotton,green,none
rectangle,fair,young,female,tall,fat,party,long dress(short sleeve),silk,blue,none
triangle,fair,adults,female,tall,fat,party,long dress(long sleeve),silk,red,none
apple,fair,teenagers,female,tall,fat,party,skinny top,viscose,yellow,none
hourglass,medium,young,female,tall,fat,party,short skirt,viscose,green,none
inverted triangle,medium,adults,female,tall,fat,party,t-shirt,viscose,gold,none
rectangle,medium,teenagers,female,tall,fat,party,pants,viscose,black,none
triangle,medium,young,female,tall,fat,party,button-down blouse(short sleeve),viscose,gold,floral
apple,medium,adults,female,tall,fat,party,button-down blouse(long sleeve),cotton,sliver,none
hourglass,olive,teenagers,female,tall,fat,party,button-up blouse(short sleeve),silk,red and white,dot/polka dot
inverted triangle,olive,young,female,tall,fat,party,button-up blouse(long sleeve),viscose,blue,floral
rectangle,olive,adults,female,tall,fat,party,saree(short sleeve saree blouse),cotton,gold,none
triangle,olive,teenagers,female,tall,fat,party,saree(long sleeve saree blouse),silk,sliver,batik
apple,olive,young,female,tall,fat,party,jumpsuit(long sleeve),viscose,green,none
hourglass,tan,adults,female,tall,fat,party,jumpsuit(short sleeve),cotton,blue,none
inverted triangle,tan,teenagers,female,tall,fat,party,jumpsuit(long sleeve),viscose,red,none
rectangle,tan,young,female,tall,fat,party,jumpsuit(short sleeve),cotton,yellow,none
triangle,tan,adults,female,tall,fat,party,jumpsuit(long sleeve),viscose,green,none
apple,tan,teenagers,female,tall,fat,party,jumpsuit(short sleeve),cotton,blue,none
hourglass,fair,teenagers,female,short,thin,party,jumpsuit(long sleeve),viscose,red ,none
hourglass,medium,young,female,short,thin,party,jumpsuit(short sleeve),cotton,yellow,none
hourglass,fair,teenagers,female,short,thin,formal,blazer,linens,black,none
hourglass,medium,young,female,short,thin,formal,trousers,linens,brown,none
hourglass,olive,adults,female,short,thin,formal,short skirt,linens,white,none
hourglass,tan,teenagers,female,short,thin,formal,long skirt,linens,green,none
inverted triangle,fair,young,female,short,thin,formal,button-up blouse(long sleeve),linens,blue,none
inverted triangle,medium,adults,female,short,thin,formal,button-up blouse(short sleeve),linens,red,none
inverted triangle,olive,teenagers,female,short,thin,formal,button-down blouse(long sleeve),linens,yellow,none
inverted triangle,tan,young,female,short,thin,formal,button-down blouse(short sleeve),linens,green,none
rectangle,fair,adults,female,short,thin,formal,short dress(short sleeve),silk,black,none
rectangle,medium,teenagers,female,short,thin,formal,short dress(long sleeve),silk,brown,none
rectangle,olive,young,female,short,thin,formal,long dress(short sleeve),silk,white,none
rectangle,tan,adults,female,short,thin,formal,long dress(long sleeve),silk,green,none
triangle,fair,teenagers,female,short,thin,formal,saree,silk,blue,none
triangle,medium,young,female,short,thin,formal,saree,cotton,red and white,batik
triangle,olive,adults,female,short,thin,formal,saree,polyester,yellow and white,batik
triangle,tan,teenagers,female,short,thin,formal,saree,silk,green and blue,floral
apple,fair,young,female,short,thin,formal,short dress(short sleeve),viscose,black and red,floral
apple,medium,adults,female,short,thin,formal,short dress(long sleeve),viscose,brown and brown,dot/polka dot
apple,olive,teenagers,female,short,thin,formal,long dress(short sleeve),viscose,white and green,paisley
apple,tan,young,female,short,thin,formal,long dress(long sleeve),viscose,green and yellow,floral
hourglass,fair,adults,female,short,thin,formal,short dress(short sleeve),silk,blue and yellow,dot/polka dot
inverted triangle,fair,teenagers,female,short,thin,formal,short dress(long sleeve),silk,red,paisley
rectangle,fair,young,female,short,thin,formal,long dress(short sleeve),silk,yellow and white,floral
triangle,fair,adults,female,short,thin,formal,long dress(long sleeve),silk,green and brown,dot/polka dot
apple,fair,teenagers,female,short,thin,casual,jeans,denim,black,none
hourglass,medium,young,female,short,thin,casual,t-shirt,viscose,brown,none
inverted triangle,medium,adults,female,short,thin,casual,skinny top,cotton,white and green,floral
rectangle,medium,teenagers,female,short,thin,casual,casual blouse,silk,green,floral
triangle,medium,young,female,short,thin,casual,short trouser,viscose,blue,none
apple,medium,adults,female,short,thin,casual,short skirt,viscose,red and white,floral
hourglass,olive,teenagers,female,short,thin,casual,short dress(short sleeve),viscose,yellow and red,floral
inverted triangle,olive,young,female,short,thin,casual,short dress(long sleeve),cotton,green and brown,dot/polka dot
rectangle,olive,adults,female,short,thin,casual,long dress(short sleeve),silk,black and yellow,floral
triangle,olive,teenagers,female,short,thin,casual,long dress(long sleeve),silk,brown and green,dot/polka dot
apple,olive,young,female,short,thin,casual,jeans,viscose,white,none
hourglass,tan,adults,female,short,thin,casual,t-shirt,cotton,green,none
inverted triangle,tan,teenagers,female,short,thin,casual,skinny top,viscose,blue,none
rectangle,tan,young,female,short,thin,casual,casual blouse,viscose,red and white,dot/polka dot
triangle,tan,adults,female,short,thin,casual,casual blouse,cotton,yellow and brown,paisley
apple,tan,teenagers,female,short,thin,casual,casual blouse,viscose,green and white,floral
hourglass,fair,young,female,normal,thin,sport,t-shirt,cotton,black,none
hourglass,medium,adults,female,normal,thin,sport,jeans,cotton,black,none
hourglass,olive,teenagers,female,normal,thin,sport,short jeans,cotton,brown,none
hourglass,tan,young,female,normal,thin,sport,sports bra,viscose,black,none
inverted triangle,fair,adults,female,normal,thin,sport,leggings,cotton,brown,none
inverted triangle,medium,teenagers,female,normal,thin,party,short dress(short sleeve),viscose,sliver,none
inverted triangle,olive,young,female,normal,thin,party,short dress(long sleeve),cotton,green,none
inverted triangle,tan,adults,female,normal,thin,party,long dress(short sleeve),silk,blue,none
rectangle,fair,teenagers,female,normal,thin,party,long dress(long sleeve),silk,red,none
rectangle,medium,young,female,normal,thin,party,skinny top,viscose,yellow,none
rectangle,olive,adults,female,normal,thin,party,short skirt,viscose,green,none
rectangle,tan,teenagers,female,normal,thin,party,t-shirt,viscose,gold,none
triangle,fair,young,female,normal,thin,party,pants,viscose,black,none
triangle,medium,adults,female,normal,thin,party,button-down blouse(short sleeve),viscose,gold,floral
triangle,olive,teenagers,female,normal,thin,party,button-down blouse(long sleeve),cotton,sliver,none
triangle,tan,young,female,normal,thin,party,button-up blouse(short sleeve),silk,red and white,dot/polka dot
apple,fair,adults,female,normal,thin,party,button-up blouse(long sleeve),viscose,blue,floral
apple,medium,teenagers,female,normal,thin,party,saree(short sleeve saree blouse),cotton,gold,none
apple,olive,young,female,normal,thin,party,saree(long sleeve saree blouse),silk,sliver,batik
apple,tan,adults,female,normal,thin,party,jumpsuit(long sleeve),viscose,green,none
hourglass,fair,teenagers,female,normal,thin,party,jumpsuit(short sleeve),cotton,blue,none
inverted triangle,fair,young,female,normal,thin,party,jumpsuit(long sleeve),viscose,red,none
rectangle,fair,adults,female,normal,thin,party,jumpsuit(short sleeve),cotton,yellow,none
triangle,fair,teenagers,female,normal,thin,party,jumpsuit(long sleeve),viscose,green,none
apple,fair,young,female,normal,thin,party,jumpsuit(short sleeve),cotton,blue,none
hourglass,medium,adults,female,normal,thin,party,jumpsuit(long sleeve),viscose,red ,none
inverted triangle,medium,teenagers,female,normal,thin,party,jumpsuit(short sleeve),cotton,yellow,none
rectangle,medium,young,female,normal,thin,formal,blazer,linens,black,none
triangle,medium,adults,female,normal,thin,formal,trousers,linens,brown,none
apple,medium,teenagers,female,normal,thin,formal,short skirt,linens,white,none
hourglass,olive,young,female,normal,thin,formal,long skirt,linens,green,none
inverted triangle,olive,adults,female,normal,thin,formal,button-up blouse(long sleeve),linens,blue,none
rectangle,olive,teenagers,female,normal,thin,formal,button-up blouse(short sleeve),linens,red,none
triangle,olive,young,female,normal,thin,formal,button-down blouse(long sleeve),linens,yellow,none
apple,olive,adults,female,normal,thin,formal,button-down blouse(short sleeve),linens,green,none
hourglass,tan,teenagers,female,normal,thin,formal,short dress(short sleeve),silk,black,none
inverted triangle,tan,young,female,normal,thin,formal,short dress(long sleeve),silk,brown,none
rectangle,tan,adults,female,normal,thin,formal,long dress(short sleeve),silk,white,none
triangle,tan,teenagers,female,normal,thin,formal,long dress(long sleeve),silk,green,none
apple,tan,young,female,normal,thin,formal,saree,silk,blue,none
hourglass,fair,adults,female,tall,thin,formal,saree,cotton,red and white,batik
hourglass,medium,teenagers,female,tall,thin,formal,saree,polyester,yellow and white,batik
hourglass,olive,young,female,tall,thin,formal,saree,silk,green and blue,floral
hourglass,tan,adults,female,tall,thin,formal,short dress(short sleeve),viscose,black and red,floral
inverted triangle,fair,teenagers,female,tall,thin,formal,short dress(long sleeve),viscose,brown and brown,dot/polka dot
inverted triangle,medium,young,female,tall,thin,formal,long dress(short sleeve),viscose,white and green,paisley
inverted triangle,olive,adults,female,tall,thin,formal,long dress(long sleeve),viscose,green and yellow,floral
inverted triangle,tan,teenagers,female,tall,thin,formal,short dress(short sleeve),silk,blue and yellow,dot/polka dot
rectangle,fair,young,female,tall,thin,formal,short dress(long sleeve),silk,red,paisley
rectangle,medium,adults,female,tall,thin,formal,long dress(short sleeve),silk,yellow and white,floral
rectangle,olive,teenagers,female,tall,thin,formal,long dress(long sleeve),silk,green and brown,dot/polka dot
rectangle,tan,young,female,tall,thin,casual,jeans,denim,black,none
triangle,fair,adults,female,tall,thin,casual,t-shirt,viscose,brown,none
triangle,medium,teenagers,female,tall,thin,casual,skinny top,cotton,white and green,floral
triangle,olive,young,female,tall,thin,casual,casual blouse,silk,green,floral
triangle,tan,adults,female,tall,thin,casual,short trouser,viscose,blue,none
apple,fair,teenagers,female,tall,thin,casual,short skirt,viscose,red and white,floral
apple,medium,young,female,tall,thin,casual,short dress(short sleeve),viscose,yellow and red,floral
apple,olive,adults,female,tall,thin,casual,short dress(long sleeve),cotton,green and brown,dot/polka dot
apple,tan,teenagers,female,tall,thin,casual,long dress(short sleeve),silk,black and yellow,floral
hourglass,fair,young,female,tall,thin,casual,long dress(long sleeve),silk,brown and green,dot/polka dot
inverted triangle,fair,adults,female,tall,thin,casual,jeans,viscose,white,none
rectangle,fair,teenagers,female,tall,thin,casual,t-shirt,cotton,green,none
triangle,fair,young,female,tall,thin,casual,skinny top,viscose,blue,none
apple,fair,adults,female,tall,thin,casual,casual blouse,viscose,red and white,dot/polka dot
hourglass,medium,teenagers,female,tall,thin,casual,casual blouse,cotton,yellow and brown,paisley
inverted triangle,medium,young,female,tall,thin,casual,casual blouse,viscose,green and white,floral
rectangle,medium,adults,female,tall,thin,sport,t-shirt,cotton,black,none
triangle,medium,teenagers,female,tall,thin,sport,jeans,cotton,black,none
apple,medium,young,female,tall,thin,sport,short jeans,cotton,brown,none
hourglass,olive,adults,female,tall,thin,sport,sports bra,viscose,black,none
inverted triangle,olive,teenagers,female,tall,thin,sport,leggings,cotton,brown,none
rectangle,olive,young,female,tall,thin,party,short dress(short sleeve),viscose,sliver,none
triangle,olive,adults,female,tall,thin,party,short dress(long sleeve),cotton,green,none
apple,olive,teenagers,female,tall,thin,party,long dress(short sleeve),silk,blue,none
hourglass,tan,young,female,tall,thin,party,long dress(long sleeve),silk,red,none
inverted triangle,tan,adults,female,tall,thin,party,skinny top,viscose,yellow,none
rectangle,tan,teenagers,female,tall,thin,party,short skirt,viscose,green,none
triangle,tan,young,female,tall,thin,party,t-shirt,viscose,gold,none
apple,tan,adults,female,tall,thin,party,pants,viscose,black,none
hourglass,fair,teenagers,female,short,normal,party,button-down blouse(short sleeve),viscose,gold,floral
hourglass,medium,young,female,short,normal,party,button-down blouse(long sleeve),cotton,sliver,none
hourglass,olive,adults,female,short,normal,party,button-up blouse(short sleeve),silk,red and white,dot/polka dot
hourglass,tan,teenagers,female,short,normal,party,button-up blouse(long sleeve),viscose,blue,floral
inverted triangle,fair,young,female,short,normal,party,saree(short sleeve saree blouse),cotton,gold,none
inverted triangle,medium,adults,female,short,normal,party,saree(long sleeve saree blouse),silk,sliver,batik
inverted triangle,olive,teenagers,female,short,normal,party,jumpsuit(long sleeve),viscose,green,none
inverted triangle,tan,young,female,short,normal,party,jumpsuit(short sleeve),cotton,blue,none
rectangle,fair,adults,female,short,normal,party,jumpsuit(long sleeve),viscose,red,none
rectangle,medium,teenagers,female,short,normal,party,jumpsuit(short sleeve),cotton,yellow,none
rectangle,olive,young,female,short,normal,party,jumpsuit(long sleeve),viscose,green,none
rectangle,tan,adults,female,short,normal,party,jumpsuit(short sleeve),cotton,blue,none
triangle,fair,teenagers,female,short,normal,party,jumpsuit(long sleeve),viscose,red ,none
triangle,medium,young,female,short,normal,party,jumpsuit(short sleeve),cotton,yellow,none
triangle,olive,adults,female,short,normal,formal,blazer,linens,black,none
triangle,tan,teenagers,female,short,normal,formal,trousers,linens,brown,none
apple,fair,young,female,short,normal,formal,short skirt,linens,white,none
apple,medium,adults,female,short,normal,formal,long skirt,linens,green,none
apple,olive,teenagers,female,short,normal,formal,button-up blouse(long sleeve),linens,blue,none
apple,tan,young,female,short,normal,formal,button-up blouse(short sleeve),linens,red,none
hourglass,fair,adults,female,short,normal,formal,button-down blouse(long sleeve),linens,yellow,none
inverted triangle,fair,teenagers,female,short,normal,formal,button-down blouse(short sleeve),linens,green,none
rectangle,fair,young,female,short,normal,formal,short dress(short sleeve),silk,black,none
triangle,fair,adults,female,short,normal,formal,short dress(long sleeve),silk,brown,none
apple,fair,teenagers,female,short,normal,formal,long dress(short sleeve),silk,white,none
hourglass,medium,young,female,short,normal,formal,long dress(long sleeve),silk,green,none
inverted triangle,medium,adults,female,short,normal,formal,saree,silk,blue,none
rectangle,medium,teenagers,female,short,normal,formal,saree,cotton,red and white,batik
triangle,medium,young,female,short,normal,formal,saree,polyester,yellow and white,batik
apple,medium,adults,female,short,normal,formal,saree,silk,green and blue,floral
hourglass,olive,teenagers,female,short,normal,formal,short dress(short sleeve),viscose,black and red,floral
inverted triangle,olive,young,female,short,normal,formal,short dress(long sleeve),viscose,brown and brown,dot/polka dot
rectangle,olive,adults,female,short,normal,formal,long dress(short sleeve),viscose,white and green,paisley
triangle,olive,teenagers,female,short,normal,formal,long dress(long sleeve),viscose,green and yellow,floral
apple,olive,young,female,short,normal,formal,short dress(short sleeve),silk,blue and yellow,dot/polka dot
hourglass,tan,adults,female,short,normal,formal,short dress(long sleeve),silk,red,paisley
inverted triangle,tan,teenagers,female,short,normal,formal,long dress(short sleeve),silk,yellow and white,floral
rectangle,tan,young,female,short,normal,formal,long dress(long sleeve),silk,green and brown,dot/polka dot
triangle,tan,adults,female,short,normal,casual,jeans,denim,black,none
apple,tan,teenagers,female,short,normal,casual,t-shirt,viscose,brown,none
hourglass,fair,young,female,normal,normal,casual,skinny top,cotton,white and green,floral
hourglass,medium,adults,female,normal,normal,casual,casual blouse,silk,green,floral
hourglass,olive,teenagers,female,normal,normal,casual,short trouser,viscose,blue,none
hourglass,tan,young,female,normal,normal,casual,short skirt,viscose,red and white,floral
inverted triangle,fair,adults,female,normal,normal,casual,short dress(short sleeve),viscose,yellow and red,floral
inverted triangle,medium,teenagers,female,normal,normal,casual,short dress(long sleeve),cotton,green and brown,dot/polka dot
inverted triangle,olive,young,female,normal,normal,casual,long dress(short sleeve),silk,black and yellow,floral
inverted triangle,tan,adults,female,normal,normal,casual,long dress(long sleeve),silk,brown and green,dot/polka dot
rectangle,fair,teenagers,female,normal,normal,casual,jeans,viscose,white,none
rectangle,medium,young,female,normal,normal,casual,t-shirt,cotton,green,none
rectangle,olive,adults,female,normal,normal,casual,skinny top,viscose,blue,none
rectangle,tan,teenagers,female,normal,normal,casual,casual blouse,viscose,red and white,dot/polka dot
triangle,fair,young,female,normal,normal,casual,casual blouse,cotton,yellow and brown,paisley
triangle,medium,adults,female,normal,normal,casual,casual blouse,viscose,green and white,floral
triangle,olive,teenagers,female,normal,normal,sport,t-shirt,cotton,black,none
triangle,tan,young,female,normal,normal,sport,jeans,cotton,black,none
apple,fair,adults,female,normal,normal,sport,short jeans,cotton,brown,none
apple,medium,teenagers,female,normal,normal,sport,sports bra,viscose,black,none
apple,olive,young,female,normal,normal,sport,leggings,cotton,brown,none
apple,tan,adults,female,normal,normal,party,short dress(short sleeve),viscose,sliver,none
hourglass,fair,teenagers,female,normal,normal,party,short dress(long sleeve),cotton,green,none
inverted triangle,fair,young,female,normal,normal,party,long dress(short sleeve),silk,blue,none
rectangle,fair,adults,female,normal,normal,party,long dress(long sleeve),silk,red,none
triangle,fair,teenagers,female,normal,normal,party,skinny top,viscose,yellow,none
apple,fair,young,female,normal,normal,party,short skirt,viscose,green,none
hourglass,medium,adults,female,normal,normal,party,t-shirt,viscose,gold,none
inverted triangle,medium,teenagers,female,normal,normal,party,pants,viscose,black,none
rectangle,medium,young,female,normal,normal,party,button-down blouse(short sleeve),viscose,gold,floral
triangle,medium,adults,female,normal,normal,party,button-down blouse(long sleeve),cotton,sliver,none
apple,medium,teenagers,female,normal,normal,party,button-up blouse(short sleeve),silk,red and white,dot/polka dot
hourglass,olive,young,female,normal,normal,party,button-up blouse(long sleeve),viscose,blue,floral
inverted triangle,olive,adults,female,normal,normal,party,saree(short sleeve saree blouse),cotton,gold,none
rectangle,olive,teenagers,female,normal,normal,party,saree(long sleeve saree blouse),silk,sliver,batik
triangle,olive,young,female,normal,normal,party,jumpsuit(long sleeve),viscose,green,none
apple,olive,adults,female,normal,normal,party,jumpsuit(short sleeve),cotton,blue,none
hourglass,tan,teenagers,female,normal,normal,party,jumpsuit(long sleeve),viscose,red,none
inverted triangle,tan,young,female,normal,normal,party,jumpsuit(short sleeve),cotton,yellow,none
rectangle,tan,adults,female,normal,normal,party,jumpsuit(long sleeve),viscose,green,none
triangle,tan,teenagers,female,normal,normal,party,jumpsuit(short sleeve),cotton,blue,none
apple,tan,young,female,normal,normal,party,jumpsuit(long sleeve),viscose,red ,none
hourglass,fair,adults,female,tall,normal,party,jumpsuit(short sleeve),cotton,yellow,none
hourglass,medium,teenagers,female,tall,normal,formal,blazer,linens,black,none
hourglass,olive,young,female,tall,normal,formal,trousers,linens,brown,none
hourglass,tan,adults,female,tall,normal,formal,short skirt,linens,white,none
inverted triangle,fair,teenagers,female,tall,normal,formal,long skirt,linens,green,none
inverted triangle,medium,young,female,tall,normal,formal,button-up blouse(long sleeve),linens,blue,none
inverted triangle,olive,adults,female,tall,normal,formal,button-up blouse(short sleeve),linens,red,none
inverted triangle,tan,teenagers,female,tall,normal,formal,button-down blouse(long sleeve),linens,yellow,none
rectangle,fair,young,female,tall,normal,formal,button-down blouse(short sleeve),linens,green,none
rectangle,medium,adults,female,tall,normal,formal,short dress(short sleeve),silk,black,none
rectangle,olive,teenagers,female,tall,normal,formal,short dress(long sleeve),silk,brown,none
rectangle,tan,young,female,tall,normal,formal,long dress(short sleeve),silk,white,none
triangle,fair,adults,female,tall,normal,formal,long dress(long sleeve),silk,green,none
triangle,medium,teenagers,female,tall,normal,formal,saree,silk,blue,none
triangle,olive,young,female,tall,normal,formal,saree,cotton,red and white,batik
triangle,tan,adults,female,tall,normal,formal,saree,polyester,yellow and white,batik
apple,fair,teenagers,female,tall,normal,formal,saree,silk,green and blue,floral
apple,medium,young,female,tall,normal,formal,short dress(short sleeve),viscose,black and red,floral
apple,olive,adults,female,tall,normal,formal,short dress(long sleeve),viscose,brown and brown,dot/polka dot
apple,tan,teenagers,female,tall,normal,formal,long dress(short sleeve),viscose,white and green,paisley
hourglass,fair,young,female,tall,normal,formal,long dress(long sleeve),viscose,green and yellow,floral
inverted triangle,fair,adults,female,tall,normal,formal,short dress(short sleeve),silk,blue and yellow,dot/polka dot
rectangle,fair,teenagers,female,tall,normal,formal,short dress(long sleeve),silk,red,paisley
triangle,fair,young,female,tall,normal,formal,long dress(short sleeve),silk,yellow and white,floral
apple,fair,adults,female,tall,normal,formal,long dress(long sleeve),silk,green and brown,dot/polka dot
hourglass,medium,teenagers,female,tall,normal,casual,jeans,denim,black,none
inverted triangle,medium,young,female,tall,normal,casual,t-shirt,viscose,brown,none
rectangle,medium,adults,female,tall,normal,casual,skinny top,cotton,white and green,floral
triangle,medium,teenagers,female,tall,normal,casual,casual blouse,silk,green,floral
apple,medium,young,female,tall,normal,casual,short trouser,viscose,blue,none
hourglass,olive,adults,female,tall,normal,casual,short skirt,viscose,red and white,floral
inverted triangle,olive,teenagers,female,tall,normal,casual,short dress(short sleeve),viscose,yellow and red,floral
rectangle,olive,young,female,tall,normal,casual,short dress(long sleeve),cotton,green and brown,dot/polka dot
triangle,olive,adults,female,tall,normal,casual,long dress(short sleeve),silk,black and yellow,floral
apple,olive,teenagers,female,tall,normal,casual,long dress(long sleeve),silk,brown and green,dot/polka dot
hourglass,tan,young,female,tall,normal,casual,jeans,viscose,white,none
inverted triangle,tan,adults,female,tall,normal,casual,t-shirt,cotton,green,none
rectangle,tan,teenagers,female,tall,normal,casual,skinny top,viscose,blue,none
triangle,tan,young,female,tall,normal,casual,casual blouse,viscose,red and white,dot/polka dot
apple,tan,adults,female,tall,normal,casual,casual blouse,cotton,yellow and brown,paisley
hourglass,fair,teenagers,female,short,normal,casual,casual blouse,viscose,green and white,floral
hourglass,medium,young,female,short,normal,sport,t-shirt,cotton,black,none
hourglass,olive,adults,female,short,normal,sport,jeans,cotton,black,none
hourglass,tan,teenagers,female,short,normal,sport,short jeans,cotton,brown,none
inverted triangle,fair,young,female,short,normal,sport,sports bra,viscose,black,none
inverted triangle,medium,adults,female,short,normal,sport,leggings,cotton,brown,none
inverted triangle,olive,teenagers,female,short,normal,party,short dress(short sleeve),viscose,sliver,none
inverted triangle,tan,young,female,short,normal,party,short dress(long sleeve),cotton,green,none
rectangle,fair,adults,female,short,normal,party,long dress(short sleeve),silk,blue,none
rectangle,medium,teenagers,female,short,normal,party,long dress(long sleeve),silk,red,none
rectangle,olive,young,female,short,normal,party,skinny top,viscose,yellow,none
rectangle,tan,adults,female,short,normal,party,short skirt,viscose,green,none
triangle,fair,teenagers,female,short,normal,party,t-shirt,viscose,gold,none
triangle,medium,young,female,short,normal,party,pants,viscose,black,none
triangle,olive,adults,female,short,normal,party,button-down blouse(short sleeve),viscose,gold,floral
triangle,tan,teenagers,female,short,normal,party,button-down blouse(long sleeve),cotton,sliver,none
apple,fair,young,female,short,normal,party,button-up blouse(short sleeve),silk,red and white,dot/polka dot
apple,medium,adults,female,short,normal,party,button-up blouse(long sleeve),viscose,blue,floral
apple,olive,teenagers,female,short,normal,party,saree(short sleeve saree blouse),cotton,gold,none
apple,tan,young,female,short,normal,party,saree(long sleeve saree blouse),silk,sliver,batik
hourglass,fair,adults,female,short,normal,party,jumpsuit(long sleeve),viscose,green,none
inverted triangle,fair,teenagers,female,short,normal,party,jumpsuit(short sleeve),cotton,blue,none
rectangle,fair,young,female,short,normal,party,jumpsuit(long sleeve),viscose,red,none
triangle,fair,adults,female,short,normal,party,jumpsuit(short sleeve),cotton,yellow,none
apple,fair,teenagers,female,short,normal,party,jumpsuit(long sleeve),viscose,green,none
hourglass,medium,young,female,short,normal,party,jumpsuit(short sleeve),cotton,blue,none
inverted triangle,medium,adults,female,short,normal,party,jumpsuit(long sleeve),viscose,red ,none
rectangle,medium,teenagers,female,short,normal,party,jumpsuit(short sleeve),cotton,yellow,none
triangle,medium,young,female,short,normal,formal,blazer,linens,black,none
apple,medium,adults,female,short,normal,formal,trousers,linens,brown,none
hourglass,olive,teenagers,female,short,normal,formal,short skirt,linens,white,none
inverted triangle,olive,young,female,short,normal,formal,long skirt,linens,green,none
rectangle,olive,adults,female,short,normal,formal,button-up blouse(long sleeve),linens,blue,none
triangle,olive,teenagers,female,short,normal,formal,button-up blouse(short sleeve),linens,red,none
apple,olive,young,female,short,normal,formal,button-down blouse(long sleeve),linens,yellow,none
hourglass,tan,adults,female,short,normal,formal,button-down blouse(short sleeve),linens,green,none
inverted triangle,tan,teenagers,female,short,normal,formal,short dress(short sleeve),silk,black,none
rectangle,tan,young,female,short,normal,formal,short dress(long sleeve),silk,brown,none
triangle,tan,adults,female,short,normal,formal,long dress(short sleeve),silk,white,none
apple,tan,teenagers,female,short,normal,formal,long dress(long sleeve),silk,green,none
hourglass,fair,young,female,normal,normal,formal,saree,silk,blue,none
hourglass,medium,adults,female,normal,normal,formal,saree,cotton,red and white,batik
hourglass,olive,teenagers,female,normal,normal,formal,saree,polyester,yellow and white,batik
hourglass,tan,young,female,normal,normal,formal,saree,silk,green and blue,floral
inverted triangle,fair,adults,female,normal,normal,formal,short dress(short sleeve),viscose,black and red,floral
inverted triangle,medium,teenagers,female,normal,normal,formal,short dress(long sleeve),viscose,brown and brown,dot/polka dot
inverted triangle,olive,young,female,normal,normal,formal,long dress(short sleeve),viscose,white and green,paisley
inverted triangle,tan,adults,female,normal,normal,formal,long dress(long sleeve),viscose,green and yellow,floral
rectangle,fair,teenagers,female,normal,normal,formal,short dress(short sleeve),silk,blue and yellow,dot/polka dot
rectangle,medium,young,female,normal,normal,formal,short dress(long sleeve),silk,red,paisley
rectangle,olive,adults,female,normal,normal,formal,long dress(short sleeve),silk,yellow and white,floral
rectangle,tan,teenagers,female,normal,normal,formal,long dress(long sleeve),silk,green and brown,dot/polka dot
triangle,fair,young,female,normal,normal,casual,jeans,denim,black,none
triangle,medium,adults,female,normal,normal,casual,t-shirt,viscose,brown,none
